CODE;LOCATIONNAME;PRICE;AREA;ROOMNUMBER;BATHNUMBER;STATUS;STUDIO;ISPENTHOUSE;DUPLEX;SWIMMINGPOOL;ELEVATOR
2,76777E+18;Malasana-Universidad;265311;88;4;1;Second hand / Good state;0;0;0;0;1
9,67156E+17;Las Tablas;510779;103;2;2;Second hand / Good state;0;1;0;1;1
9,22337E+18;Chopera;474043;121;3;3;Second hand / Good state;0;0;0;0;1
9,22337E+18;Estrella;496383;148;4;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Goya;429503;71;1;1;Second hand / Good state;0;0;0;0;1
6,08617E+18;Los Carmenes;162439;79;4;2;Second hand / Good state;0;0;0;0;1
3,77794E+18;Buena Vista;174764;61;1;1;New development;0;0;0;1;1
7,90043E+18;Almagro;1424093;207;3;3;Second hand / Good state;0;0;0;0;1
9,22337E+18;Abrantes;307103;108;3;2;Second hand / Good state;0;0;0;1;1
4,47848E+17;Trafalgar;341814;72;2;1;Second hand / Good state;0;0;0;0;1
3,09026E+18;Delicias;270821;65;1;1;Second hand / Good state;0;0;0;1;1
5,39027E+18;Pueblo Nuevo;173707;58;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;San Diego;124433;69;3;1;Second hand / Good state;0;0;0;0;0
5,14277E+18;Penagrande;351499;103;3;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Arapiles;1250210;262;4;3;Second hand / Good state;0;0;0;1;1
3,85555E+18;Valdeacederas;189321;55;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Puerta Bonita;106519;116;4;2;Second hand / Good state;0;0;0;0;1
1,55481E+18;Acacias;136734;36;2;1;Second hand / Good state;0;0;0;0;1
3,98076E+17;San Isidro;154764;55;0;1;Second hand / Good state;1;0;0;0;0
9,22337E+18;Campo de las Naciones-Corralejos;393491;183;2;2;Second hand / Good state;0;1;0;1;1
3,73697E+18;Castellana;759686;143;3;2;Second hand / Good state;0;0;0;0;1
3,36373E+18;Ciudad Jardin;251152;78;1;1;Second hand / Good state;0;0;1;0;1
9,22337E+18;Cuzco-Castillejos;867206;232;5;4;Second hand / Needs reformation;0;0;0;0;1
4,95253E+18;Fuente del Berro;632960;147;4;2;Second hand / Good state;0;0;0;0;1
2,81649E+18;Nino Jesus;373877;95;3;1;Second hand / Needs reformation;0;0;0;0;1
2,45279E+18;Casco historico de Vallecas;134719;78;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Vista Alegre;100664;56;2;1;Second hand / Good state;0;0;0;0;0
5,37438E+18;Puerta Bonita;152423;80;3;1;Second hand / Good state;0;0;0;0;0
2,32377E+18;Delicias;254816;59;2;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Arguelles;870922;235;4;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Aravaca;885621;178;4;4;New development;0;1;1;1;1
4,1615E+18;Puerta Bonita;248783;95;2;1;Second hand / Good state;0;1;0;0;1
8,16612E+18;Puerta del Angel;151560;70;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Huertas-Cortes;483245;86;2;1;Second hand / Good state;0;0;0;0;1
5,37238E+18;Guindalera;299782;59;2;1;Second hand / Needs reformation;0;0;0;0;1
7,15656E+18;Lavapies-Embajadores;198854;39;2;1;Second hand / Good state;0;0;0;0;1
4,85675E+18;Ensanche de Vallecas - La Gavia;178983;67;2;1;Second hand / Good state;0;0;0;0;1
1,99702E+18;Berruguete;239663;70;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Nueva Espana;1008323;235;5;3;Second hand / Good state;0;0;0;0;1
8,4982E+18;Huertas-Cortes;369602;90;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Puerta del Angel;163528;80;2;2;Second hand / Good state;0;0;0;0;1
5,99824E+18;Arapiles;360881;68;3;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Ciudad Jardin;469239;105;4;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lista;501193;79;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Valdeacederas;77180;34;2;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Valdeacederas;452330;147;2;2;Second hand / Good state;0;1;0;0;1
9,22337E+18;Casa de Campo;189267;79;3;1;Second hand / Good state;0;0;0;0;1
3,0076E+18;Pinar del Rey;299086;82;3;1;Second hand / Unknown;0;0;0;1;1
9,22337E+18;Quintana;227492;74;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Pacifico;535317;140;4;2;Second hand / Good state;0;1;0;0;1
9,22337E+18;Bellas Vistas;364003;90;4;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Valdebebas - Valdefuentes;625919;174;4;3;New development;0;0;0;1;1
9,22337E+18;Lavapies-Embajadores;273352;74;3;1;Second hand / Good state;0;0;0;0;0
1,85255E+17;Pueblo Nuevo;183307;81;4;1;Second hand / Unknown;0;0;0;0;0
9,22337E+18;Delicias;626051;146;4;3;New development;0;0;0;1;1
9,22337E+18;Chueca-Justicia;194760;35;0;1;Second hand / Good state;1;0;0;0;0
9,22337E+18;Simancas;190964;59;1;1;Second hand / Unknown;0;0;0;0;1
4,70592E+18;Goya;705640;75;2;2;Second hand / Good state;0;0;0;1;1
9,18376E+18;Recoletos;409479;39;0;1;Second hand / Good state;1;0;0;0;1
6,872E+18;Guindalera;361955;76;2;1;Second hand / Good state;0;0;0;0;1
8,63294E+18;Jeronimos;1493309;154;3;3;Second hand / Good state;0;0;0;0;1
8,84336E+18;Rejas;298002;96;2;2;Second hand / Good state;0;0;0;1;1
2,95395E+18;Lista;417210;68;2;2;Second hand / Good state;0;0;0;0;1
4,721E+18;Campo de las Naciones-Corralejos;483266;130;3;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Puerta Bonita;59783;49;2;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Entrevias;118398;91;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Chopera;328623;73;2;1;Second hand / Good state;0;0;0;0;1
3,94412E+18;Lavapies-Embajadores;454492;80;2;1;New development;0;0;0;1;1
9,22337E+18;Vallehermoso;229591;45;1;1;Second hand / Good state;0;1;1;0;1
5,42374E+18;Lavapies-Embajadores;242326;51;1;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Gaztambide;576770;110;3;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Imperial;178715;52;1;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Puerta del Angel;178604;46;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Portazgo;190511;142;3;2;Second hand / Good state;0;0;1;0;0
4,89191E+18;Nuevos Ministerios-Rios Rosas;1450128;252;4;4;Second hand / Unknown;0;0;0;0;1
9,22337E+18;Arapiles;177585;37;0;1;Second hand / Good state;1;0;0;0;1
9,22337E+18;San Andres;80852;59;2;1;Second hand / Good state;0;0;0;0;0
3,02463E+18;Gaztambide;702267;194;4;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Ensanche de Vallecas - La Gavia;199387;69;1;1;Second hand / Good state;0;0;0;1;1
1,38998E+17;San Isidro;88196;84;3;1;Second hand / Unknown;0;0;0;0;0
9,22337E+18;Ventas;160883;66;2;1;Second hand / Good state;0;0;0;0;0
6,38731E+18;Goya;1210179;166;3;4;Second hand / Good state;0;0;0;0;1
9,22337E+18;Huertas-Cortes;267857;49;1;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Canillejas;139532;77;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Recoletos;2442223;282;4;5;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lavapies-Embajadores;199975;40;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Canillas;713195;141;3;2;Second hand / Good state;0;1;1;0;1
9,22337E+18;Nueva Espana;379212;41;1;1;Second hand / Good state;0;0;0;1;1
9,22337E+18;Ventilla-Almenara;182829;109;4;2;Second hand / Good state;0;0;0;0;0
4,85008E+18;Tres Olivos - Valverde;247498;61;1;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Chueca-Justicia;877163;203;5;2;Second hand / Good state;0;0;0;0;0
4,75255E+18;Canillejas;175303;78;3;1;Second hand / Needs reformation;0;0;0;0;0
4,77183E+18;Palomeras sureste;349757;130;4;2;Second hand / Good state;0;0;0;1;1
2,94727E+18;Media Legua;153587;71;2;1;Second hand / Good state;0;0;0;0;1
5,98246E+18;Lavapies-Embajadores;862575;272;5;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Palomeras Bajas;132107;72;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Valdebernardo - Valderribas;331451;98;4;2;Second hand / Good state;0;0;0;1;1
1,09647E+18;Arguelles;1432276;345;7;3;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Lista;307058;44;1;1;Second hand / Good state;0;0;0;0;1
6,85021E+18;San Diego;99281;36;2;1;Second hand / Good state;0;0;0;0;1
6,55657E+18;Palacio;187206;53;1;1;Second hand / Good state;0;0;0;0;0
4,81284E+18;Nino Jesus;472007;102;4;2;Second hand / Good state;0;0;0;0;1
9,15905E+18;Arapiles;230198;49;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;San Isidro;86954;47;2;1;Second hand / Good state;0;0;0;0;0
4,97929E+18;Gaztambide;610494;127;3;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Nuevos Ministerios-Rios Rosas;624338;157;3;3;Second hand / Good state;0;0;0;0;1
9,22337E+18;Nueva Espana;767170;189;2;2;Second hand / Good state;0;1;0;0;1
6,52571E+18;Lavapies-Embajadores;630817;68;2;2;Second hand / Good state;0;1;0;0;0
6,86434E+18;Bernabeu-Hispanoamerica;417691;92;2;2;Second hand / Good state;0;1;0;0;1
4,07949E+18;Gaztambide;615826;112;3;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Arguelles;399147;39;0;1;Second hand / Good state;1;0;0;0;1
6,92626E+18;San Diego;55043;46;1;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Gaztambide;260841;46;1;1;Second hand / Good state;0;0;0;0;1
3,45262E+17;Pinar del Rey;226941;79;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Estrella;603877;165;4;3;Second hand / Good state;0;0;0;0;1
1,31534E+18;Aguilas;132459;80;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Palomeras sureste;206726;78;2;1;Second hand / Good state;0;0;0;1;1
8,46808E+18;Fuente del Berro;338524;77;2;2;Second hand / Good state;0;0;0;0;0
9,22337E+18;Cuatro Caminos;317117;93;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Guindalera;447803;96;2;2;New development;0;0;0;1;1
9,22337E+18;Almagro;1203604;228;4;2;Second hand / Unknown;0;0;0;0;1
9,22337E+18;Lavapies-Embajadores;369683;81;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Puerta del Angel;130509;64;2;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Arapiles;217602;24;0;1;Second hand / Good state;1;0;0;0;1
5,22482E+18;Ensanche de Vallecas - La Gavia;174723;55;1;1;Second hand / Good state;0;0;0;1;1
3,39149E+18;Las Tablas;598539;141;4;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Mirasierra;419717;109;4;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;El Viso;1501115;256;5;3;Second hand / Good state;0;0;0;0;1
1,99403E+18;Delicias;627775;126;4;3;New development;0;0;0;1;1
9,22337E+18;Pilar;277785;67;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Recoletos;2126996;215;3;3;Second hand / Needs reformation;0;1;0;0;1
3,02649E+18;Pueblo Nuevo;198548;84;2;1;Second hand / Good state;0;0;0;0;1
6,06403E+18;Palomeras sureste;159445;82;2;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Lista;675188;138;2;2;Second hand / Good state;0;1;0;0;1
2,12854E+18;Vista Alegre;156602;48;1;1;Second hand / Good state;0;1;0;0;1
9,22337E+18;San Isidro;161496;81;3;1;Second hand / Good state;0;0;0;0;0
7,33902E+18;Gaztambide;489819;101;2;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Prosperidad;302166;66;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Prosperidad;306458;76;2;2;Second hand / Good state;0;0;0;0;0
4,95301E+18;Palacio;249618;60;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Penagrande;250000;71;3;2;Second hand / Good state;0;0;0;0;0
9,22337E+18;Palacio;208402;54;3;1;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Valdezarza;285633;80;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Costillares;470885;97;2;2;New development;0;0;0;1;1
9,22337E+18;Rejas;163435;49;1;1;Second hand / Unknown;0;0;0;0;0
9,22337E+18;Berruguete;74564;41;3;1;Second hand / Good state;0;0;0;0;0
5,94302E+18;San Cristobal;68905;60;3;1;Second hand / Good state;0;0;0;0;0
8,57518E+18;Lucero;120653;55;2;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Valdezarza;231486;56;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Aluche;316667;114;4;2;Second hand / Good state;0;0;0;0;1
4,6127E+18;Malasana-Universidad;514328;118;2;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Estrella;417717;91;2;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Imperial;152239;34;0;0;Second hand / Needs reformation;0;0;0;0;0
8,79364E+18;Cuatro Caminos;115987;49;1;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Prosperidad;361103;66;2;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Lista;202648;34;1;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lista;756041;158;4;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Rosas;363367;99;3;2;Second hand / Good state;0;0;0;1;1
9,22337E+18;Guindalera;634530;174;4;3;Second hand / Needs reformation;0;0;0;0;1
6,66845E+18;Prosperidad;789232;142;3;2;Second hand / Good state;0;0;0;1;1
4,73872E+18;Puerta del Angel;126896;67;2;1;Second hand / Good state;0;0;0;0;0
1,77976E+18;Lavapies-Embajadores;214149;49;1;1;Second hand / Good state;0;0;1;0;0
9,22337E+18;Nuevos Ministerios-Rios Rosas;764458;116;3;2;Second hand / Unknown;0;0;0;0;1
2,46832E+18;Fuente del Berro;247722;84;0;2;Second hand / Good state;1;0;0;0;0
3,83795E+18;Lista;651808;132;4;2;Second hand / Good state;0;0;0;0;1
9,22337E+18;Lucero;172762;56;2;1;Second hand / Good state;0;0;0;0;0
8,6195E+18;Simancas;121574;66;3;1;Second hand / Good state;0;0;0;0;0
5,56749E+18;Los Angeles;232545;69;2;2;New development;0;1;0;1;1
9,22337E+18;Goya;253564;38;1;1;Second hand / Good state;0;0;0;0;1
9,10964E+18;Malasana-Universidad;529328;107;3;2;Second hand / Good state;0;0;0;0;0
9,15347E+18;Berruguete;124179;50;1;1;Second hand / Good state;0;0;0;0;0
5,90159E+18;Vista Alegre;153638;67;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Ambroz;174062;67;3;1;Second hand / Good state;0;0;0;0;1
6,60578E+18;Estrella;492412;114;2;2;Second hand / Good state;0;0;0;0;1
2,25037E+18;Colina;265395;90;1;1;Second hand / Good state;0;0;0;1;1
9,22337E+18;Palacio;317472;73;1;1;Second hand / Good state;0;0;0;0;0
6,71268E+18;Goya;559835;94;2;2;Second hand / Good state;0;0;0;0;1
5,71292E+18;Puerta Bonita;135544;81;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Sanchinarro;222757;42;1;1;Second hand / Good state;0;0;0;1;1
8,77132E+18;Recoletos;921487;117;3;2;Second hand / Good state;0;0;0;0;1
2,65678E+18;Aluche;244350;103;3;2;Second hand / Needs reformation;0;0;0;0;1
8,77033E+18;Concepcion;555528;113;2;2;Second hand / Good state;0;0;0;0;1
3,83681E+18;Vista Alegre;129247;73;2;1;Second hand / Needs reformation;0;0;0;0;1
3,39051E+18;Ciudad Jardin;308088;55;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Arcos;137428;88;3;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Pavones;201177;93;3;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Ambroz;274998;149;3;2;Second hand / Good state;0;0;0;1;1
5,43937E+18;Buena Vista;280200;92;3;2;Second hand / Good state;0;1;0;0;1
2,7671E+18;Nuevos Ministerios-Rios Rosas;1651308;307;5;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Palomeras Bajas;141000;56;3;1;Second hand / Good state;0;0;0;0;0
7,92566E+18;Los Rosales;81574;63;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Nueva Espana;793901;197;3;3;Second hand / Needs reformation;0;0;0;1;1
9,22337E+18;Palacio;590265;93;2;2;Second hand / Good state;0;1;0;0;1
3,09175E+18;Ventas;139541;61;3;1;Second hand / Needs reformation;0;0;0;0;0
8,78864E+18;Imperial;160599;48;1;1;Second hand / Needs reformation;0;0;0;0;0
9,22337E+18;Malasana-Universidad;445390;104;2;2;Second hand / Good state;0;0;0;0;1
2,80977E+18;El Canaveral - Los Berrocales;188477;106;2;2;New development;0;0;0;1;1
9,22337E+18;Castilla;626890;144;4;2;Second hand / Needs reformation;0;0;0;0;1
9,15927E+17;Jeronimos;565138;183;5;3;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Aluche;200613;85;3;1;Second hand / Good state;0;0;0;0;1
7,99137E+17;Prosperidad;189963;47;1;1;Second hand / Good state;0;1;0;0;1
9,22337E+18;Canillejas;185072;101;3;1;Second hand / Good state;0;0;0;0;0
9,22337E+18;Recoletos;1589884;187;4;4;Second hand / Good state;0;0;0;0;1
1,58735E+18;Berruguete;263147;74;2;1;Second hand / Good state;0;0;0;0;1
9,22337E+18;Media Legua;262649;94;2;2;Second hand / Needs reformation;0;0;0;0;1
9,22337E+18;Palos de Moguer;288352;47;1;1;Second hand / Good state;0;0;0;1;1
9,22337E+18;Cuzco-Castillejos;884981;216;4;3;Second hand / Good state;0;0;0;1;1
